headline,snippet,source,type,url,word_count,locations,subjects
"b'Harper Sticks It to Nats, Leading Phillies to 8-2 Win in DC'","b'Showered by raindrops and jeers for much of the game, Bryce Harper put a bat-flipping, celebratory finish on his memorable return to Washington.'",AP,News,https://www.nytimes.com/aponline/2019/04/02/sports/baseball/ap-bbn-phillies-nationals.html,960,[],[]
"b'Goodbye, Women\xe2\x80\x99s History Month. Here Are 15 Women We Shouldn\xe2\x80\x99t Forget.'","b'From an 80-year-old tiger trainer to the motorcycle queen of Miami, these are the stories of trailblazing women you likely didn\xe2\x80\x99t learn about in school.'",The New York Times,News,https://www.nytimes.com/2019/03/29/us/forgotten-womens-history.html,1421,"['Alaska', 'K2 (Himalayas)', 'Montgomery (Ala)', 'Mount Everest', 'New York City']","['Women and Girls', 'History (Academic Subject)', 'Blacks', 'Civil Rights Movement (1954-68)', 'New York City Marathon', 'Motorcycles, Motor Bikes and Motorscooters', 'Baseball', 'Computers and the Internet']"
"b""Peterson's 1st MLB Hit in 9th Sends Tigers Past Yankees 3-1""","b""Dustin Peterson's parents were right there in the Yankee Stadium stands to see his first major league hit &#8212; a tiebreaking rocket off one of baseball's best closers.""",AP,News,https://www.nytimes.com/aponline/2019/04/02/sports/baseball/ap-bba-tigers-yankees.html,962,[],[]
"b""Greinke Homers Twice, Fans 10 in Arizona's 8-5 Win vs Padres""","b""Zack Greinke's incredible night at the plate and on the mound was overshadowed somewhat after Manny Machado was involved in an unusual batter's interference call.""",AP,News,https://www.nytimes.com/aponline/2019/04/03/sports/baseball/ap-bbn-diamondbacks-padres.html,1046,[],[]
b'C.C. Sabathia Gives the Yankees a Win and a Pick-Me-Up in His Return',"b'Sabathia, back from the injured list and beginning his farewell tour, went five innings and allowed the only hit the Yankees gave up. But his mere presence was just as important.'",The New York Times,News,https://www.nytimes.com/2019/04/13/sports/cc-sabathia-yankees-white-sox.html,785,[],['Baseball']
b'Mets Beat Braves as Brandon Nimmo Breaks Out of Doldrums',"b'Nimmo, who entered the game hitting .150, had a two-run homer as Pete Alonso was rested. Zack Wheeler, rebounding from a seven-run outing, struck out eight.'",The New York Times,News,https://www.nytimes.com/2019/04/12/sports/mets-braves-brandon-nimmo.html,456,[],['Baseball']
b'Amed Rosario and Pete Alonso Power Mets Past Braves',"b'Rosario and Alonso had home runs, helping end the team-record streak of starts without a decision by Steven Matz.'",The New York Times,News,https://www.nytimes.com/2019/04/11/sports/mets-braves-rosario-alonso.html,479,[],['Baseball']
b'Moses Fleetwood Walker',b'It turns out Jackie Robinson was not the first big league baseball player known to be African-American. That distinction belongs to Moses Fleetwood Walker.',The New York Times,Interactive Feature,https://www.nytimes.com/interactive/2019/obituaries/moses-fleetwood-walker-overlooked.html,,[],"['Biographical Information', 'Baseball', 'Blacks', 'Race and Ethnicity', 'Discrimination']"
"b'Jose Altuve Continues to Pester Yankees, Homering Twice as Astros Finish Sweep'",b'The second baseman hit a towering blast off a light tower and ended up with four homers in a three-game series in which only one of the teams looked like a World Series contender.',The New York Times,News,https://www.nytimes.com/2019/04/10/sports/yankees-astros-jose-altuve.html,769,[],['Baseball']
b'An Imperfect Noah Syndergaard Steadies the Mets\xe2\x80\x99 Ship in Win Over Twins',"b'The big right-hander ran into trouble in the eighth inning, but his strong seven innings, and a wild six-run fifth by the Mets\xe2\x80\x99 offense, ended the team\xe2\x80\x99s losing streak at two.'",The New York Times,News,https://www.nytimes.com/2019/04/10/sports/mets-twins-noah-syndergaard.html,737,[],['Baseball']
"b'Jacob deGrom Gives Up 6 Runs, and a Piece of History, Against the Twins'","b'It was deGrom\xe2\x80\x99s worst outing since Sept. 5, 2017, and it came five days after he struck out 14 batters in a dominant win over the Marlins.'",The New York Times,News,https://www.nytimes.com/2019/04/10/sports/mets-jacob-degrom.html,648,[],['Baseball']
b'Mets\xe2\x80\x99 Bats Awaken Too Late in Loss to Nationals',"b'Trailing 7-1 when starter Zack Wheeler left after what he called an \xe2\x80\x9cembarrassing day,\xe2\x80\x9d the Mets managed to score five runs in the seventh. But it wasn\xe2\x80\x99t enough.'",The New York Times,News,https://www.nytimes.com/2019/04/07/sports/mets-nationals.html,502,[],['Baseball']
b'MLB Disciplines Three Following Reds-Pirates Brawl',"b""Pittsburgh right-hander Chris Archer, Cincinnati outfielder Yasiel Puig and Reds manager David Bell received suspensions Tuesday for their roles in Sunday's bench-clearing brawl in Pittsburgh.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/09/sports/09reuters-baseball-mlb-pit-cin-suspensions.html,184,[],[]
b'Mets Rally in Eighth to Defeat the Nationals',"b'The Mets hit five home runs, two by J.D. Davis, but the winning blow was Keon Broxton\xe2\x80\x99s two-out single in the eighth inning, which broke a 5-5 tie.'",The New York Times,News,https://www.nytimes.com/2019/04/06/sports/mets-nationals-keon-broxton-jd-davis.html,608,[],['Baseball']
"b'Mets Go Cold, but Noah Syndergaard Brings Heat Over Scheduling'","b'\xe2\x80\x9cI don\xe2\x80\x99t think we were in the proper situation to win a ballgame based on the rest of the guys\xe2\x80\x99 sleep and travel,\xe2\x80\x9d Syndergaard said after the Mets fell to the Nationals.'",The New York Times,News,https://www.nytimes.com/2019/04/04/sports/mets-home-opener.html,831,[],['Baseball']
"b'Gleyber Torres Muscles Up Against Orioles, Ending Yankees\xe2\x80\x99 Skid'","b'The infielder, who will be the team\xe2\x80\x99s primary shortstop for the time being, had a career-high four hits. His second home run of the game put the Yankees on top to stay.'",The New York Times,News,https://www.nytimes.com/2019/04/04/sports/gleyber-torres-yankees.html,639,[],['Baseball']
b'Jacob deGrom Dominates Marlins on the Mound and at the Plate',"b'The Mets\xe2\x80\x99 ace struck out a career-high 14 batters in the win over Miami, and for good measure he hit a solo home run in the third inning.'",The New York Times,News,https://www.nytimes.com/2019/04/03/sports/jacob-degrom-mets-marlins.html,685,[],['Baseball']
"b'Mets Go Up Big, Then Sweat a Little in Win Over Marlins'",b'The Mets barely hung on after going up by 5-0 in the top of the first inning. One of the brighter spots was the way Dominic Smith filled in for Pete Alonso.',The New York Times,News,https://www.nytimes.com/2019/04/03/sports/mets-marlins.html,480,[],['Baseball']
"b'Mets Rally, Only to Lose to Nationals on Walk-Off Homer'","b'Trea Turner homered in the third inning off Zack Wheeler and in the ninth off Justin Wilson, salvaging the finale of a three-game series for Washington.'",The New York Times,News,https://www.nytimes.com/2019/03/31/sports/trea-turner-mets-nationals.html,515,[],['Baseball']
b'\xe2\x80\x98Living the Dream\xe2\x80\x99: Pete Alonso Powers the Mets Past the Nationals',"b'Alonso, in his second major league game, was 3 for 4 at the plate with two R.B.I. and another run scored. He was also a pleasant surprise on defense.'",The New York Times,News,https://www.nytimes.com/2019/03/30/sports/mets-nationals-pete-alonso.html,530,[],['Baseball']
"b'Zack Greinke Finds His Old Home, Dodger Stadium, Unwelcoming Again'","b'The Dodgers had eight homers on Thursday, four of them off Greinke, breaking the opening-day record of six.'",The New York Times,News,https://www.nytimes.com/2019/03/29/sports/los-angeles-dodgers-zack-greinke-diamondbacks.html,338,[],['Baseball']
b'MLB Roundup: Cards Crush Dodgers for Four-Game Sweep',b'Jose Martinez had four hits and Matt Wieters drove in three runs as the St. Louis Cardinals completed a four-game sweep of the visiting Los Angeles Dodgers with an 11-7 victory Thursday afternoon.',Reuters,News,https://www.nytimes.com/reuters/2019/04/12/sports/baseball/12reuters-baseball-mlb-roundup.html,1245,[],[]
"b'Blake Snell Gets an Extension After All, for 5 Years and $50 Million'","b'The Tampa Bay Rays had been criticized for offering Snell, the 2018 A.L. Cy Young Award winner, just a $15,500 raise after last season.'",The New York Times,News,https://www.nytimes.com/2019/03/21/sports/blake-snell-extension.html,504,[],['Baseball']
b'MLB Roundup: Angels Stay Hot Even Without Trout',"b'Mike Trout got the day off to recover from a strained right groin, and the Los Angeles Angels made the most of their five hits in a 4-2 win over the Milwaukee Brewers on Wednesday night at Anaheim, Calif., completing a three-game sweep.'",Reuters,News,https://www.nytimes.com/reuters/2019/04/11/sports/baseball/11reuters-baseball-mlb-roundup.html,1483,[],[]
b'MLB Roundup: Soto Smash in 10th Lifts Nationals',b'Juan Soto hit a three-run home run off Jose Alvarez in the top of the 10th inning to rally the visiting Washington Nationals to a 10-6 victory over the Philadelphia Phillies on Tuesday.',Reuters,News,https://www.nytimes.com/reuters/2019/04/10/sports/baseball/10reuters-baseball-mlb-roundup.html,1433,[],[]
b'Masahiro Tanaka to Start on Yankees\xe2\x80\x99 Opening Day',b'The Yankees said on Saturday that Tanaka would replace Luis Severino as the opening day starter against Baltimore on March 28.',The New York Times,News,https://www.nytimes.com/2019/03/09/sports/yankees-opening-day-starter-tanaka.html,387,[],['Baseball']
b'Plays by Tracy Letts and Bess Wohl Headed to Broadway',b'A revival of Richard Greenberg\xe2\x80\x99s baseball comedy \xe2\x80\x9cTake Me Out\xe2\x80\x9d will also be part of Second Stage Theater\xe2\x80\x99s 2019-20 season.',The New York Times,News,https://www.nytimes.com/2019/03/26/theater/tracy-letts-second-stage-broadway.html,275,[],['Theater']
b'Knight Makes 1st Return Trip to Indiana Campus Since Firing',"b""Bob Knight returned to Indiana University on Saturday, the former basketball coach's first public appearance on campus since he was fired almost 19 years ago.""",AP,News,https://www.nytimes.com/aponline/2019/04/09/sports/ncaabasketball/ap-bkc-indiana-knight-returns.html,79,[],[]
"b'Learning With: \xe2\x80\x98Jackie Robinson Showed Me How to Fight On, Not Fight Back\xe2\x80\x99'",b'What lessons can we learn from Jackie Robinson on his 100th birthday?',The New York Times,News,https://www.nytimes.com/2019/02/01/learning/learning-with-jackie-robinson-showed-me-how-to-fight-on-not-fight-back.html,470,[],[]
"b'Developer, Former Casino Owner Deifik Dies in Crash at 64'","b""The former owner of Atlantic City's Ocean Resort Casino has been killed in an automobile accident. Bruce Deifik (DIE'-fick) was 64.""",AP,News,https://www.nytimes.com/aponline/2019/04/11/us/ap-us-casino-owner-killed.html,131,[],[]
"b'What\xe2\x80\x99s Going On in This Graph? | April 17, 2019'","b'Look closely at this graph, and join the moderated conversation about what you and other students see.'",The New York Times,News,https://www.nytimes.com/2019/04/11/learning/whats-going-on-in-this-graph-april-17-2019.html,492,[],[]
"b'Boy, 6, Dies of Heart Attack; Collapsed During Team Pictures'",b'A 6-year-old boy who collapsed at a baseball field in Georgia while taking pictures with his teammates has died.',AP,News,https://www.nytimes.com/aponline/2019/04/01/us/ap-us-child-dies-heart-attack.html,125,[],[]
b'Quotation of the Day: Roger Stone Placed Under Gag Order by Federal Judge Over Instagram Post',"b'Quotation of the Day for Friday, February 22, 2019.'",The New York Times,Quote,https://www.nytimes.com/2019/02/21/todayspaper/quotation-of-the-day-roger-stone-placed-under-gag-order-by-federal-judge-over-instagram-post.html,64,[],[]
b'Indians Sign Francona to Two-Year Extension',b'Indians manager Terry Francona signed a two-year extension to remain in Cleveland through the 2022 season.',Reuters,News,https://www.nytimes.com/reuters/2019/04/03/sports/03reuters-baseball-mlb-cle-francona.html,125,[],[]
b'Lenny Dykstra Admits He Ran Illegal Rooming Home',b'Former baseball star Lenny Dykstra has pleaded guilty to illegally renting out rooms in a New Jersey house owned by his corporation.',AP,News,https://www.nytimes.com/aponline/2019/04/02/us/ap-us-lenny-dykstra-illegal-rooming-house.html,134,[],[]
b'Today in History',b'Today in History',AP,News,https://www.nytimes.com/aponline/2019/04/01/us/ap-history.html,760,[],[]
b'Man Imprisoned 25 Years Settles Wrongful Conviction Lawsuit',"b'A former minor league baseball player in West Virginia who spent more than 25 years in prison for a sexual assault conviction before his sentence was vacated has reached a $175,000 settlement with the city of Charleston.'",AP,News,https://www.nytimes.com/aponline/2019/04/01/us/ap-us-ex-player-lawsuit.html,133,[],[]
"b'Yankees Add D.J. LeMahieu, Signaling Reduced Interest in Manny Machado'","b'LeMahieu, a three-time Gold Glove winner at second base, won the National League batting crown in 2016. He agreed to a two-year, $24 million deal.'",The New York Times,News,https://www.nytimes.com/2019/01/11/sports/yankees-dj-lemahieu-machado.html,667,[],['Baseball']
"b'Marilynn Smith, an L.P.G.A. Founder and Tour Champion, Is Dead at 89'","b'She was one of 13 women who started a league of their own, having so little money at first that they traveled to tournaments in highway caravans.'",The New York Times,Obituary (Obit),https://www.nytimes.com/2019/04/09/obituaries/marilynn-smith-dead.html,911,[],"['Deaths (Obituaries)', 'Golf', 'Women and Girls']"
b'Mets Sign Infielder Jed Lowrie to Bolster Their Versatility',b'The switch-hitter can play three positions and is coming off a season in which he set a new career-high with 23 home runs.',The New York Times,News,https://www.nytimes.com/2019/01/10/sports/jed-lowrie-mets.html,558,[],['Baseball']
"b'Lyft, President Trump, M.L.B.: Your Thursday Evening Briefing'",b'Here\xe2\x80\x99s what you need to know at the end of the day.',The New York Times,briefing,https://www.nytimes.com/2019/03/28/briefing/lyft-president-trump-mlb-.html,1154,[],[]
b'Taking the Measure of Kyler Murray',"b'At the N.F.L.\xe2\x80\x99s predraft combine, the biggest question has been whether Murray, one of the country\xe2\x80\x99s supreme athletes, has what it takes to play quarterback in the league.'",The New York Times,News,https://www.nytimes.com/2019/03/02/sports/kyler-murray-nfl-draft-combine.html,1004,[],"['Heisman Trophy', 'Draft and Recruitment (Sports)']"
b'Yankees and Zach Britton Agree on a 3-Year Deal',"b'Britton, who came to the Yankees in a trade from the Baltimore Orioles last summer, will be guaranteed $39 million under the contract, which is pending a medical examination.'",The New York Times,News,https://www.nytimes.com/2019/01/05/sports/yankees-zach-britton.html,241,[],['Baseball']
b'How the Troy Tulowitzki Signing Affects the Yankees\xe2\x80\x99 Pursuit of Manny Machado',b'General Manager Brian Cashman said that the team\xe2\x80\x99s plan would be for Tulowitzki to play shortstop until Didi Gregorius\xe2\x80\x99s return and that the Yankees were still interested in Machado.',The New York Times,News,https://www.nytimes.com/2019/01/04/sports/how-the-troy-tulowitzki-signing-affects-the-yankees-pursuit-of-manny-machado.html,585,[],['Baseball']
"b""Orioles' Davis Sets Record With 0-For-49 Skid""",b'Chris Davis stands alone in terms of baseball offensive futility.',Reuters,News,https://www.nytimes.com/reuters/2019/04/08/sports/08reuters-baseball-mlb-bal-davis-hitless.html,191,[],[]
b'Yankees Lose to Astros and Send Luis Severino for More Tests',"b'Severino, who has been out since March 5, has not healed enough from shoulder inflammation to throw off a mound.'",The New York Times,News,https://www.nytimes.com/2019/04/08/sports/luis-severino-yankees.html,600,[],"['Baseball', 'Sports Injuries']"
b'An Early Crush of Injuries Tests the Yankees\xe2\x80\x99 Spring Optimism',"b'Before the team\xe2\x80\x99s 3-1 loss to the Tigers on Tuesday, Miguel Andujar vowed to beat the odds and come back from a potentially season-ending shoulder injury.'",The New York Times,News,https://www.nytimes.com/2019/04/02/sports/yankees-injuries-miguel-andujar.html,952,[],"['Baseball', 'Sports Injuries']"
b'Should College Athletes Be Paid?',b'Readers discuss an Op-Ed that argued it would be harmful to college sports.',The New York Times,Letter,https://www.nytimes.com/2019/03/06/opinion/letters/college-athletes-pay.html,561,[],"['College Athletics', 'Basketball (College)', 'Football (College)']"
"b'Michael Cohen, SpaceX, Michael Jackson: Your Weekend Briefing'",b'Here\xe2\x80\x99s what you need to know about the week\xe2\x80\x99s top stories.',The New York Times,briefing,https://www.nytimes.com/2019/03/03/briefing/michael-cohen-spacex-michael-jackson-.html,1245,[],[]
"b'Michael Cohen, SpaceX, Michael Jackson: Your Weekend Briefing'",b'Here\xe2\x80\x99s what you need to know about the week\xe2\x80\x99s top stories.',The New York Times,briefing,https://www.nytimes.com/2019/03/03/briefing/michael-cohen-spacex-michael-jackson-.html,1245,[],[]
b'Get Ready for Olympic Break Dancing',"b'To appeal to younger fans, organizers of the 2024 Games in Paris said they would recommend break dancing as a new sport.'",The New York Times,News,https://www.nytimes.com/2019/02/21/sports/break-dancing-olympics.html,544,[],"['Olympic Games (2024)', 'Break Dancing']"
"b""Diamondbacks' Jones Requested Fan Be Removed""","b""The Arizona Diamondbacks' Adam Jones had a fan removed from San Diego's Petco Park during Wednesday night's game for spewing profane language, the outfielder told AZCentral.com.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/04/sports/04reuters-baseball-mlb-ari-jones-fan.html,238,[],[]
"b'Donald Trump, Coast Guard, Jussie Smollett: Your Wednesday Evening Briefing'",b'Here\xe2\x80\x99s what you need to know at the end of the day.',The New York Times,briefing,https://www.nytimes.com/2019/02/20/briefing/donald-trump-coast-guard-jussie-smollett.html,1213,[],[]
b'Yankees\xe2\x80\x99 Luis Severino Is Out Until May; Aaron Hicks Could Miss Opening Day',"b'General Manager Brian Cashman said Severino would return in May \xe2\x80\x9cat the earliest,\xe2\x80\x9d and Hicks\xe2\x80\x99s back issues have proven more serious than initially thought.'",The New York Times,News,https://www.nytimes.com/2019/03/15/sports/luis-severino-aaron-hicks-yankees.html,643,[],"['Baseball', 'Sports Injuries']"
"b'Back From Rehab, Can Travis d\xe2\x80\x99Arnaud Find a Place With the Mets?'","b'D\xe2\x80\x99Arnaud, who was forced to have Tommy John surgery early last season, may struggle to find a role with a new starting catcher on the Mets\xe2\x80\x99 roster.'",The New York Times,News,https://www.nytimes.com/2019/03/13/sports/travis-darnaud-mets.html,953,[],"['Baseball', 'Sports Injuries']"
"b'Corrections: January 23, 2019'","b'Corrections appearing in print on Wednesday, January 23, 2019.'",The New York Times,Correction,https://www.nytimes.com/2019/01/22/pageoneplus/corrections-january-23-2019.html,453,[],[]
"b'Queens, Back in the Day'","b'Growing up in an outer borough, when the outer boroughs were far from cool.'",The New York Times,Letter,https://www.nytimes.com/2019/02/22/opinion/letters/queens-memories.html,197,['Queens (NYC)'],[]
"b'Yankees\xe2\x80\x99 Luis Severino Scratched, Raising Doubts About Opening Day'","b'Severino, the Yankees\xe2\x80\x99 top starting pitcher last season, could miss the Yankees\xe2\x80\x99 opener because of rotator cuff inflammation.'",The New York Times,News,https://www.nytimes.com/2019/03/05/sports/luis-severino-yankees.html,629,[],"['Baseball', 'Sports Injuries']"
"b""McGill University Drops 'Redmen' Name From Sports Teams""",b'McGill University has dropped the name Redmen from its varsity sports teams after receiving complaints that the name is a racial slur.',AP,News,https://www.nytimes.com/aponline/2019/04/13/world/ap-cn-canada-mcgill-redmen-.html,319,[],[]
"b""Actor Burt Reynolds' Car, Cowboy Boots Going Up for Auction""","b""One of Burt Reynolds' favorite cars is going up for auction in June along with some of his cowboy boots, hats, sports jackets and other items from his estate, Julien's Auctions said on Friday.""",Reuters,News,https://www.nytimes.com/reuters/2019/04/12/arts/12reuters-people-burt-reynolds.html,334,[],[]
b'Police Hunt Assailant After Beating Outside Dodger Stadium',"b""The San Francisco Giants fan who was left disabled in an attack outside Dodger Stadium that drew national attention eight years ago said he's dismayed that Los Angeles police are again investigating an assault at the baseball stadium that left a m...""",AP,News,https://www.nytimes.com/aponline/2019/04/01/us/ap-us-dodger-stadium-fight.html,299,[],[]
b'Does Anyone Collect Old Emails?',"b'We used to hold on to letters, tickets and playbills to remind us of the past. But those things are rapidly disappearing.'",The New York Times,Op-Ed,https://www.nytimes.com/2019/04/05/opinion/memory-collections.html,832,[],"['Psychology and Psychologists', 'Memory', 'Letters', 'E-Mail']"
