headline,snippet,source,type,url,word_count,locations,subjects
"b'Donald Trump, El Chapo, Mars: Your Wednesday Evening Briefing'",b'Here\xe2\x80\x99s what you need to know at the end of the day.',The New York Times,briefing,https://www.nytimes.com/2019/02/13/briefing/donald-trump-el-chapo-mars.html,1368,[],[]
"b'Fiat Chrysler Plans Michigan Investment With 6,500 Jobs'","b'The automaker is spending $4.5 billion on several plants to produce three Jeep models, reflecting consumers\xe2\x80\x99 growing preference for bigger vehicles.'",The New York Times,News,https://www.nytimes.com/2019/02/26/business/fiat-chrysler-jeep-plant.html,699,[],"['Automobiles', 'Labor and Jobs', 'Sports Utility Vehicles and Light Trucks', 'Factories and Manufacturing']"
b'How to Not Ruin Your Life (or Just Die of Embarrassment) With a Screen Share',b'There are settings to help you avoid this. Here\xe2\x80\x99s how to use them.',The New York Times,News,https://www.nytimes.com/2019/03/21/style/screen-share-privacy-tips.html,709,[],"['Computers and the Internet', 'Mobile Applications', 'Instant Messaging', 'Windows (Operating System)']"
"b'Big Changes at Britain\xe2\x80\x99s Saatchi Gallery, as Visitor Numbers Slide'",b'The art collector Charles Saatchi appears to be relinquishing control of the country\xe2\x80\x99s best-known and most popular private museum of contemporary art.',The New York Times,News,https://www.nytimes.com/2019/04/04/arts/design/saachi-gallery-charity.html,723,[],['Art']
b'Diversifying New York City\xe2\x80\x99s Elite High Schools',b'Readers discuss the continuing problem of low numbers of minority students admitted to the city\xe2\x80\x99s elite high schools.',The New York Times,Letter,https://www.nytimes.com/2019/03/19/opinion/letters/new-york-city-elite-high-schools.html,728,['New York City'],"['Education (K-12)', 'Tests and Examinations']"
"b""Director's Chair: CBS's Fishman Ready for 37th Final Four""","b""Michigan State's Tom Izzo has the most Final Four experience of any of the coaches in this year's NCAA Tournament finale.""",AP,News,https://www.nytimes.com/aponline/2019/04/02/arts/ap-bkc-ncaa-cbs-fishman.html,787,[],[]
"b'Learning With: \xe2\x80\x98In 5G Race With China, U.S. Pushes Allies to Fight Huawei\xe2\x80\x99'",b'The Trump administration contends that the world is engaged in a new \xe2\x80\x9carms race.\xe2\x80\x9d What does it mean by that?',The New York Times,News,https://www.nytimes.com/2019/01/30/learning/learning-with-in-5g-race-with-china-us-pushes-allies-to-fight-huawei.html,553,[],[]
"b'Corrections: March 15, 2019'","b'Corrections appearing in print on Friday, March 15, 2019.'",The New York Times,Correction,https://www.nytimes.com/2019/03/14/pageoneplus/corrections-march-15-2019.html,742,[],[]
b'International Red Cross Ready for Venezuela Humanitarian Aid Operation',"b'The International Federation of the Red Cross and Red Crescent Societies said on Friday it was prepared to channel humanitarian aid to Venezuela through an operation that could be similar to one in Syria, potentially helping ease chronic hunger an...'",Reuters,News,https://www.nytimes.com/reuters/2019/03/29/world/americas/29reuters-venezuela-politics.html,738,[],[]
"b'Trump Says Special Olympics Funding to Be Restored, Not Cut'","b'President Donald Trump says he is backing off his budget request to eliminate funding for the Special Olympics, reversing course on a proposal that was unlikely to be approved by Congress after days of bipartisan criticism.'",AP,News,https://www.nytimes.com/aponline/2019/03/29/us/politics/ap-us-devos-special-olympics.html,739,[],[]
b'Trump Backs Off Proposal to Cut Special Olympics Funds',"b'President Donald Trump announced Thursday that he was backing off his budget request to eliminate funding for the Special Olympics, reversing course on a proposal that was unlikely to be approved by Congress after days of bipartisan criticism.'",AP,News,https://www.nytimes.com/aponline/2019/03/28/us/ap-us-devos-special-olympics.html,735,[],[]
"b'Ethiopian Airlines, With a Tradition of Training Pilots, Wants to Become Africa\xe2\x80\x99s Leading Carrier'","b'The airline relies on its well-regarded and competitive Aviation Academy, which trains not only pilots but also mechanics and management employees to position itself as Africa\xe2\x80\x99s premier carrier.'",The New York Times,News,https://www.nytimes.com/2019/03/12/business/ethiopian-airline-crash-school.html,669,['Addis Ababa (Ethiopia)'],"['Aviation Accidents, Safety and Disasters', 'Boeing 737 Max Groundings and Safety Concerns (2019)', 'Airlines and Airplanes', 'Pilots', 'Deaths (Fatalities)']"
b'Washington\xe2\x80\x99s Most Popular Russian (and His Teammates) Honored at White House',b'Alex Ovechkin and the Washington Capitals were last year\xe2\x80\x99s National Hockey League champions.',The New York Times,News,https://www.nytimes.com/2019/03/25/us/politics/trump-washington-capitals-ovechkin.html,704,[],"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Hockey, Ice', 'Stanley Cup']"
b'For the Cause',b'Sean Biggins makes his New York Times Crossword debut by marking a special occasion.',The New York Times,News,https://www.nytimes.com/2019/01/20/crosswords/daily-puzzle-2019-01-21.html,574,[],['Crossword Puzzles']
"b'Endeavor Returns Money to Saudi Arabia, Protesting Khashoggi Murder'","b'The talent agency sent $400 million back to Saudi Arabia\xe2\x80\x99s sovereign wealth fund, a rare example of a business severing ties with the kingdom.'",The New York Times,News,https://www.nytimes.com/2019/03/08/business/endeavor-saudi-arabia.html,694,['Saudi Arabia'],"['Assassinations and Attempted Assassinations', 'Sovereign Wealth Funds', 'Agents (Business)']"
