headline,snippet,source,type,url,word_count,locations,subjects
b'German Coach Hails Win as Boost for Rebuilding Process',b'Germany coach Joachim Loew hailed the last gasp victory over the Netherlands on Sunday as an important step in the rebuilding process for his team.',Reuters,News,https://www.nytimes.com/reuters/2019/03/25/sports/soccer/25reuters-soccer-euro-nld-ger.html,262,[],[]
b'Diamondbacks RF Steven Souza Jr. Injures Left Knee',b'Arizona Diamondbacks right fielder Steven Souza Jr. injured his left knee Monday night when he slipped on home plate during an exhibition game against the Chicago White Sox.',AP,News,https://www.nytimes.com/aponline/2019/03/26/sports/baseball/ap-bbo-white-sox-diamondbacks.html,636,[],[]
b'Keselowski Routs Field to Earn Win at Martinsville Speedway',b'Brad Keselowski gave Team Penske and the new Ford Mustang its third Cup victory through the first six races of the season by routing the field at Martinsville Speedway.',AP,News,https://www.nytimes.com/aponline/2019/03/24/sports/ap-car-nascar-martinsville-.html,857,[],[]
b'Mikaela in Manhattan: Shiffrin Scripts Marvelous Ski Season',"b""Mikaela Shiffrin generally whizzes past mountain gates at 80 mph. She had a much harder time maneuvering through the crowd at Macy's.""",AP,News,https://www.nytimes.com/aponline/2019/03/24/sports/ap-ski-mikaela-in-manhattan.html,1063,[],[]
b'Pass Interference Now Reviewable by Officials',"b'Roger Goodell laid down the law, and the owners readily changed NFL rules on reviewing pass interference, whether flagged or not.'",AP,News,https://www.nytimes.com/aponline/2019/03/26/sports/football/ap-fbn-nfl-meetings.html,846,[],[]
b'No. 11 Missouri State Earns Upset Win Over No. 3 Iowa State',"b""Alexa Willard scored 17 points to lead the No. 11-seeded Missouri State Lady Bears to a 69-60 upset win over the No. 3-seeded Iowa State Cyclones on Monday in the second round of the women's NCAA Tournament on Monday in Ames, Iowa.""",Reuters,News,https://www.nytimes.com/reuters/2019/03/26/sports/26reuters-basketball-ncaa-missouri-iowa.html,317,[],[]
b'Colorado Routs Norfolk State in NIT Quarterfinals',"b'Tyler Bey scored 13 of his 17 points in the first half as fourth-seeded Colorado cruised to a 76-60 victory over eighth-seeded Norfolk State on Monday in an NIT second-round game at Boulder, Colo.'",Reuters,News,https://www.nytimes.com/reuters/2019/03/26/sports/basketball/25reuters-basketball-ncaa-colo-nfs-recap.html,331,[],[]
b'The Irish Charm Behind a Huge L.G.B.T. Club in Brooklyn',"b'Brenda Breathnach owns 3 Dollar Bill as well as the Phoenix, a gay dive bar in the East Village.'",The New York Times,News,https://www.nytimes.com/2019/03/27/style/3-dollar-bill-brooklyn-lgbt-club.html,917,[],"['Bars and Nightclubs', 'Parties (Social)']"
"b""Japan's Takeda No Longer an IOC Member: IOC""","b'Japanese Olympic Committee (JOC) chief Tsunekazu Takeda, who is under investigation in France for suspected corruption and will step down from his role in June, is no longer an International Olympic Committee member, the IOC said on Tuesday.'",Reuters,News,https://www.nytimes.com/reuters/2019/03/26/sports/olympics/26reuters-olympics-ioc-takeda.html,375,[],[]
"b""Hendricks, Cubs Agree to Deal Adding $55.5M From 2020 to '23""","b""Kyle Hendricks' focus is on the season, among the reasons the Cubs didn't hesitate to give the right-handed pitcher a new deal.""",AP,News,https://www.nytimes.com/aponline/2019/03/26/sports/baseball/ap-bbn-cubs-hendricks.html,597,[],[]
