id,headline,date,section,snippet,source,type,url,word_count,locations,subjects
5c9cde8549f0eacbf105f8a6,"b""School Suspends Official for Comment on Hitler's Leadership""",2019-03-28,U.S.,"b'A New Jersey sports official who told student athletes Adolf Hitler was a ""good leader"" with ""bad moral character and intentions"" has been suspended.'",AP,News,https://www.nytimes.com/aponline/2019/03/28/us/ap-us-school-speaker-hitler.html,136,[],[]
5c5ea50f3a125f5075c08d87,b'Dogs Before Instagram',2019-02-09,Sports,b'Vintage photos from the New York Times archive show the enduring power of the pooch.',The New York Times,News,https://www.nytimes.com/2019/02/09/sports/vintage-dog-pictures-instagram.html,2233,['New York City'],"['Dogs', 'Photography', 'Westminster Kennel Club Dog Show']"
5c70580d3a125f5075c0b149,"b'For David Beckham and Miami, a Bumpy Road Enters the Homestretch'",2019-02-22,Sports,"b'The team, which still faces lawsuits related to its latest proposed stadium site, will enter Major League Soccer in 2020.'",The New York Times,News,https://www.nytimes.com/2019/02/22/sports/soccer/david-beckham-miami-mls.html,1130,[],"['Stadiums and Arenas', 'Soccer']"
5c9bd12d49f0eacbf105f619,"b""Olbermann: Make Hunter's Life 'Hell' for Rare Turkey Shoot""",2019-03-27,U.S.,"b'A Mississippi hunter who shot a rare white turkey says he\'s been verbally attacked after TV personality Keith Olbermann called on his Twitter followers to make the hunter\'s life a ""living hell.""'",AP,News,https://www.nytimes.com/aponline/2019/03/27/us/ap-us-tv-personality-turkey-hunter.html,137,[],[]
5c91ca5b49f0eacbf105dfc5,b'Hublot Sees Bright Future With Cricket World Cup',2019-03-20,Fashion,b'The Swiss watchmaker intends to use the sport\xe2\x80\x99s popularity in India to expand its sales.',International New York Times,News,https://www.nytimes.com/2019/03/20/fashion/watches-hublot-cricket-world-cup.html,453,[],"['Watches and Clocks', 'Cricket (Game)']"
5ca4767249f0eacbf1f8078e,b'\xe2\x80\x98Long Way to Go\xe2\x80\x99: U.S. Women\xe2\x80\x99s Hockey Team Still Seeks a Bigger Spotlight',2019-04-03,Sports,"b'Two years after threatening a boycott to gain better pay and benefits, the American women wonder whether the future of women\xe2\x80\x99s hockey is as bright as the present.'",The New York Times,News,https://www.nytimes.com/2019/04/03/sports/us-womens-national-team-hockey.html,1465,[],"['Women and Girls', 'Hockey, Ice']"
5c9166d449f0eacbf105df16,b'Three Days in Paris With the Designer Combining Sportswear and Couture',2019-03-19,T Magazine,"b'Christelle Kocher unveils a collaboration with Nike, visits an art gallery, goes for a run \xe2\x80\x94 and still finds time to bedazzle.'",The New York Times,News,https://www.nytimes.com/2019/03/19/t-magazine/christelle-kocher.html,778,[],"['Uniforms', 'Soccer', ""Women's World Cup (Soccer)"", 'Fashion and Apparel']"
5c885e2a49f0eacbf105cbd0,b'The Coaches Connected to the College Admissions Fraud Case',2019-03-13,Sports,"b'Several current and former coaches, some with national titles and many with ties to U.S.C., were named in a federal indictment Tuesday.'",The New York Times,News,https://www.nytimes.com/2019/03/12/sports/sports-college-admissions-scam.html,1209,[],"['Coaches and Managers', 'Admissions Standards', 'Volleyball', 'Soccer', 'Tennis', 'Water Polo']"
5c9a3a1549f0eacbf105f1cb,"b""Officer Says He Was Fooled by Nassar's 'Lies' in 2004""",2019-03-26,U.S.,"b""A Michigan police officer who investigated a complaint against Larry Nassar back in 2004 says he didn't send the case to a prosecutor because the now-disgraced sports doctor fooled him.""",AP,News,https://www.nytimes.com/aponline/2019/03/26/us/ap-us-doctor-sexual-assault.html,134,[],[]
5c88d50049f0eacbf105cca6,b'Filling in the Blanks',2019-03-13,Crosswords & Games,"b'When life does not provide the answers, a woman finds certainty in crossword puzzles.'",The New York Times,News,https://www.nytimes.com/2019/03/13/crosswords/essay-filling-in-the-blanks.html,1112,[],['Crossword Puzzles']
