"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"After an exciting evening of Champions League action, we say goodbye to @FCBarcelona and @OL !! #football #besoccer… https://t.co/VlbUGusAQg","FALSE","1",NA,"2019-03-13 22:59:08","TRUE",NA,"1105966551625273345",NA,"<a href=\http://twitter.com\ rel=\nofollow\>Twitter Web Client</a>","besoccer_com","0","FALSE","FALSE",NA,NA
"#ChampionsLeague Final: #Juventus 🇮🇹 - #Liverpool 🇬🇧 ⚽🏆🥇🥈","FALSE","0",NA,"2019-03-13 22:59:03","FALSE",NA,"1105966529701728256",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","domy_beruang","0","FALSE","FALSE",NA,NA
"Ajax let me down today but the EPL is shining in champions league. Dominant performance by Liverpool in 2nd half. V… https://t.co/E05BxBRANR","FALSE","0",NA,"2019-03-13 22:58:55","TRUE",NA,"1105966499041366016",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","sidelineplays","0","FALSE","FALSE",NA,NA
"The world needs Barca vs Juventus in the quarter finals so we can settle this GOAT debate once and for all. 
Also w… https://t.co/Q22Dm18jvI","FALSE","0",NA,"2019-03-13 22:58:53","TRUE",NA,"1105966491059535872",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","Irunnia2","0","FALSE","FALSE",NA,NA
"@Holeap4 and @Shehu_Idris95 got five of their eight #ChampionsLeague predictions right https://t.co/2gZuMUnpYj","FALSE","1","Holeap4","2019-03-13 22:58:42","FALSE",NA,"1105966443567464448","1514705022","<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","spot_kickng","2","FALSE","FALSE",NA,NA
"My expectations for the draw on Friday 🤷🏽‍♂️🔥. 
Barcelona - Tottenham ♥️
Man City - Liverpool 💙
Juventus - Porto 💙… https://t.co/voqQyINmBY","FALSE","0",NA,"2019-03-13 22:58:38","TRUE",NA,"1105966426114977793",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","l_Mu3","0","FALSE","FALSE",NA,NA
"He’s our number 4👊🏼❤️ #VirgilVanDijk #LiverpoolFC #ChampionsLeague https://t.co/AQ754zGZGo","FALSE","0",NA,"2019-03-13 22:58:34","FALSE",NA,"1105966408863809536",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","JU_GFX","0","FALSE","FALSE",NA,NA
"TOP SCORER of UEFA Champions League with 8 goals (3 assists).

TOP SCORER of La Liga with 26 goals.

TOP ASSISTER o… https://t.co/6kUVYU7xTT","FALSE","1",NA,"2019-03-13 22:58:29","TRUE",NA,"1105966386868674561",NA,"<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","shah_zaade","0","FALSE","FALSE",NA,NA
"@MarcBenamram I'm up for any of them.. none of them are easy. On our day we can beat any of them..… https://t.co/KKh6YdADeb","FALSE","2","MarcBenamram","2019-03-13 22:58:12","TRUE","1105953897368174592","1105966316786249729","374224859","<a href=\http://twitter.com/download/android\ rel=\nofollow\>Twitter for Android</a>","AG005E","0","FALSE","FALSE",NA,NA
"The Goat @Cristiano 🔥🙏 #ChampionsLeague","FALSE","1",NA,"2019-03-13 22:58:02","FALSE",NA,"1105966274306297856",NA,"<a href=\http://twitter.com/download/iphone\ rel=\nofollow\>Twitter for iPhone</a>","faizzanzafar007","0","FALSE","FALSE",NA,NA
