"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"The Texas Rangers will be holding a Peanut Allergy-Friendly Day this year at Globe Life Park. Read to learn more ab… https://t.co/yPEiWlYVJ7",FALSE,2,NA,2019-04-13 13:59:51,TRUE,NA,"1117064861643616257",NA,"<a href=\"http://www.facebook.com/twitter\" rel=\"nofollow\">Facebook</a>","FoodAllergyNT",0,FALSE,FALSE,NA,NA
"Local #teen injured in crash that #killed his #parents and #brother leads #baseball team t - Apr 13 @ 9:57 AM ET  https://t.co/ZFP7YqJG7N",FALSE,0,NA,2019-04-13 13:58:27,FALSE,NA,"1117064506449043457",NA,"<a href=\"http://pulpnews.com/twitter/index.php\" rel=\"nofollow\">Crime News Updates</a>","PulpNews",0,FALSE,FALSE,NA,NA
"I'm looking forward to attending the Pee Wee Reese (Louisville) SABR chaper meeting in Bowling Green today... #sabr… https://t.co/RUwd8G7Sjq",FALSE,8,NA,2019-04-13 13:57:59,TRUE,NA,"1117064391185268737",NA,"<a href=\"http://instagram.com\" rel=\"nofollow\">Instagram</a>","mrsulphurdell",2,FALSE,FALSE,"-86.4444","36.9817"
"Sources: Budenholzer named top coach by peers Mike Budenholzer, who led the Bucks to a league-best 60-22 record in… https://t.co/d9FQ7HF8m0",FALSE,0,NA,2019-04-13 13:57:38,TRUE,NA,"1117064302635167744",NA,"<a href=\"http://twibble.io\" rel=\"nofollow\">Twibble.io</a>","GlobalSportsCtr",0,FALSE,FALSE,NA,NA
"#47 &amp; #48 in my #IHSAA #Baseball hat collection picked up from Coach Webb’s WeBo @WeBoAthletics Stars and Coach Spe… https://t.co/XT4eV9AvHF",FALSE,8,NA,2019-04-13 13:56:43,TRUE,NA,"1117064070824378368",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","HardyTheHatGuy",1,FALSE,FALSE,NA,NA
"Your favorite College or University is now a bandana bib.  FREE SHIPPING! #SaturdayMorning #NCAA #football… https://t.co/4G3V7XIm4s",FALSE,1,NA,2019-04-13 13:56:36,TRUE,NA,"1117064043385110528",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","messyfacebibs1",2,FALSE,FALSE,NA,NA
"Not an awful day yesterday hitting 2 of 3 plus money plays.

2019 overall 10-7
Underdogs 4-3
Over/unders 2-1

No ma… https://t.co/Bl63X0vmjE",FALSE,0,NA,2019-04-13 13:55:52,TRUE,NA,"1117063857598373889",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","locks_h",0,FALSE,FALSE,NA,NA
"RT @CvilleSportsNet: Avros' four-hit night, Spain's walkoff winner lead Austin Peay Govs to twinbill sweep #clarksville #apsu #baseball #ov…",FALSE,0,NA,2019-04-13 13:55:52,FALSE,NA,"1117063856650641410",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","AvrosJ",4,TRUE,FALSE,NA,NA
"Here is how your @Rangers batters are fairing as far as run producing. Bottom line...Gallo, Mazara, Cabrera, and An… https://t.co/genVp1RLPN",FALSE,0,NA,2019-04-13 13:54:42,TRUE,NA,"1117063565788286976",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","TheGregBrady",0,FALSE,FALSE,NA,NA
"Some happy news... #Antioch #Rotary Club repairs Antioch Little League Fields. @Rotary  #baseball #littleleague https://t.co/hHLPtsleDi",FALSE,1,NA,2019-04-13 13:54:33,FALSE,NA,"1117063528853061634",NA,"<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","eastcountytoday",0,FALSE,FALSE,NA,NA
