id,headline,date,section,snippet,source,type,url,word_count,locations,subjects
5c92ba3c40d36ff0709c9357,b'Motor Racing: F1 Goes Free-To-Air in Middle East Under New MBC Deal',2019-03-20,Arts,"b'Formula One will be broadcast live and free-to-air in the Middle East and North Africa under a new five-year deal with MBC Group, the sport announced on Wednesday.'",Reuters,News,https://www.nytimes.com/reuters/2019/03/20/arts/20reuters-motor-f1-meast-mbc.html,261,[],[]
5c8b4ed740d36ff0709c5ed5,b'Learning With: \xe2\x80\x98U.S. Women\xe2\x80\x99s Soccer Team Sues U.S. Soccer for Gender Discrimination\xe2\x80\x99',2019-03-12,The Learning Network,b'Should female athletes be paid the same as men?',The New York Times,News,https://www.nytimes.com/2019/03/12/learning/learning-with-us-womens-soccer-team-sues-us-soccer-for-gender-discrimination.html,636,[],[]
5c8b4ec840d36ff0709c5c5b,"b'Even After Manny Machado Splash, Padres Are Still a Work in Progress'",2019-03-11,Sports,"b'The Padres are facing high expectations, but their starting rotation is still a weak spot despite a wealth of prospects.'",The New York Times,News,https://www.nytimes.com/2019/03/11/sports/manny-machado-padres.html,1061,[],['Baseball']
5c91e17c40d36ff0709c8e4c,"b""Oats Has Buffalo Shedding Basketball's Mid-Major Label""",2019-03-20,Sports,"b""Buffalo coach Nate Oats was so caught up in the possibility of facing his former boss in the first round of the NCAA Tournament, the significance of the West Region's top-seeded team initially escaped him on Selection Sunday.""",AP,News,https://www.nytimes.com/aponline/2019/03/20/sports/ncaabasketball/ap-bkc-ncaa-buffalo-mid-majoring.html,943,[],[]
5c91bb0140d36ff0709c8dab,"b'As the M.L.B. Season Opens in Japan, at Least the Dirt Is Familiar'",2019-03-20,Sports,"b'For regular-season games in foreign countries, including Wednesday\xe2\x80\x99s 9-7 Mariners win, the league ships tons of soil to create a surface consistent with major league standards.'",The New York Times,News,https://www.nytimes.com/2019/03/20/sports/mariners-as-mlb-opener-japan.html,996,"['Japan', 'Tokyo (Japan)']","['Baseball', 'Stadiums and Arenas', 'Soil']"
5c9e49a240d36ff0709d0992,"b""Column: NBA Losers' Bracket Is Packed With Intriguing Teams""",2019-03-29,Sports,"b'The first time they took the court together, Trae Young threw up a lob and, somehow, John Collins knew right where the ball would be.'",AP,News,https://www.nytimes.com/aponline/2019/03/29/sports/basketball/ap-bkn-paul-newberry-losers-bracket.html,1064,[],[]
5c8ae44040d36ff070803440,b'Super Bowl Pitches That Aren\xe2\x80\x99t \xe2\x80\x98SOO Good!\xe2\x80\x99',2019-02-02,Sports,"b'The marketing blitz of the Super Bowl, seemingly unending and often head-shaking, is an excuse to promote just about anything.'",The New York Times,News,https://www.nytimes.com/2019/02/02/sports/bad-super-bowl-pitches.html,675,[],"['Football', 'Super Bowl', 'ADVERTISING AND MARKETING']"
5c8b77a540d36ff0709c7554,b'R.I.P. to the R.P.I.: Selection Committee Breaks Out New Math',2019-03-15,Sports,"b'The Rating Percentage Index, long the measuring stick for the N.C.A.A. basketball tournament, gives way to a new metric: the NET.'",The New York Times,News,https://www.nytimes.com/2019/03/15/sports/ncaa-bracket-selection-sunday-net-rating.html,1198,[],"['NCAA Basketball Championships (Men)', 'Basketball (College)']"
5c8ae3da40d36ff070801d81,b'Two Women Who Stuck With It Win Aussie Doubles Crown',2019-01-25,Sports,"b'Sam Stosur made up for a loss in the doubles final 13 years ago. Her partner, Zhang Shuai, nearly quit the sport in 2016. Now the two are Grand Slam champions.'",The New York Times,News,https://www.nytimes.com/2019/01/25/sports/tennis/sam-stosur-australian-open.html,704,[],"['Tennis', 'Australian Open (Tennis)']"
5c8b6b7840d36ff0709c7165,"b'For Odell Beckham Jr., a Departure as Stunning as His Catches'",2019-03-13,Sports,"b'In addition to losing a spectacular player, the Giants will take a big salary cap hit because of the Beckham trade. So where do they go from here?'",The New York Times,News,https://www.nytimes.com/2019/03/13/sports/odell-beckham-jr-trade-giants.html,985,[],"['Football', 'Trades (Sports)']"
5c8b5ffb40d36ff0709c6e53,b'Slow Enough to Be a Sponsored Runner',2019-03-06,Sports,"b'They will never win an Olympic medal, or even the local Turkey Trot, but a certain kind of nonelite runner is finding a way to endorsements.'",The New York Times,News,https://www.nytimes.com/2019/03/06/sports/amateur-runners-sponsorships.html,1031,[],"['Track and Field', 'Running']"
5c8b4ef540d36ff0709c62ad,b'Russell Westbrook Says Utah Jazz Fan Made \xe2\x80\x98Racial\xe2\x80\x99 Taunt That Led to Confrontation',2019-03-12,Sports,b'A video showed the N.B.A. star saying he would beat up the fan and his wife. Westbrook said the fan had told him to \xe2\x80\x9cget down on my knees like you used to.\xe2\x80\x9d',The New York Times,News,https://www.nytimes.com/2019/03/12/sports/russell-westbrook-utah-fan.html,1077,['Salt Lake City (Utah)'],"['Basketball', 'Indecency, Obscenity and Profanity', 'Discrimination']"
5c8c652b40d36ff0709c7ac4,b'A Star Princeton Player Has a Sense of Where She\xe2\x80\x99ll Be: The W.N.B.A.',2019-03-16,Sports,b'Bella Alarie of Princeton has a chance to do something no Ivy League player has done in more than a decade: represent the conference in an extended W.N.B.A. career.',The New York Times,News,https://www.nytimes.com/2019/03/15/sports/a-star-princeton-player-has-a-sense-of-where-shell-be-the-wnba.html,1109,[],"['Basketball (College)', 'Draft and Recruitment (Sports)']"
5c9e08c840d36ff0709d08d5,b'The Secrets of Pitching\xe2\x80\x99s Outlaws',2019-03-29,Sports,"b'Pitchers have used all sorts of tricks to adulterate balls and make their jobs easier. These days, though, it\xe2\x80\x99s harder to create the necessary mess.'",The New York Times,News,https://www.nytimes.com/2019/03/29/sports/baseball/pitching.html,2466,[],"['Cheating', 'Baseball']"
5c9fc78040d36ff0709d0bfa,"b'At the Miami Open, It\xe2\x80\x99s Ashleigh Barty\xe2\x80\x99s Turn for a Title'",2019-03-30,Sports,"b'The Australian beat Karolina Pliskova for her most significant victory, showing the promise of many more. She also became the 14th different WTA champion this year in 14 events.'",The New York Times,News,https://www.nytimes.com/2019/03/30/sports/ashleigh-barty-miami-open.html,1160,[],"['Miami Open (Tennis)', 'Tennis']"
5c8b5fb040d36ff0709c6c22,b'A Chastened Matt Kuchar Tries to Get Back Into the Fairway',2019-02-17,Sports,"b'\xe2\x80\x9cListen, I was stubborn,\xe2\x80\x99\xe2\x80\x99 he said on Saturday. one day after making amends with a caddie he initially shortchanged after winning a tournament.'",The New York Times,News,https://www.nytimes.com/2019/02/16/sports/matt-kuchar-caddie-ortiz-pay.html,891,[],"['Golf', 'Wages and Salaries', 'Tips and Tipping']"
5c8b85b540d36ff0709c7577,"b'Once Yankees\xe2\x80\x99 Bargaining Tool, Troy Tulowitzki Is Now Their Bargain Shortstop'",2019-03-15,Sports,"b'In 2010, Brian Cashman told Derek Jeter he\xe2\x80\x99d rather have Tulowitzki as his shortstop. Nine years later, Tulowitzki is in the Bronx on a one-year deal.'",The New York Times,News,https://www.nytimes.com/2019/03/15/sports/troy-tulowitzki-yankees.html,1137,[],['Baseball']
5c93beee40d36ff0709c9817,b'Hoops Fans Line Up to Bet (Legally) on March Madness Tourney',2019-03-21,U.S.,"b'College basketball fans lined up at casinos and racetracks or furiously tapped smartphone screens Thursday to get down bets on March Madness, many in states where it is legal for the first time.'",AP,News,https://www.nytimes.com/aponline/2019/03/21/us/ap-bkc-sports-betting-ncaa-tournament.html,826,[],[]
5c8b4e9a40d36ff0709c54d2,b'Horse Deaths at Santa Anita Spell Trouble for an Industry',2019-03-06,Sports,"b'There have been 21 horse deaths at Santa Anita since Dec. 26. Statistical noise or a serious problem? For the racing industry, that may not matter.'",The New York Times,News,https://www.nytimes.com/2019/03/06/sports/santa-anita.html,1006,['California'],"['Horse Racing', 'Animal Abuse, Rights and Welfare']"
5c8b4ecb40d36ff0709c5cb2,b'Playoff Mode? LeBron James and the Lakers Are Failing to Activate',2019-03-03,Sports,"b'A move West came with dire warnings, but the reality is setting in that a James-led team might miss the playoffs.'",The New York Times,News,https://www.nytimes.com/2019/03/03/sports/lebron-james-los-angeles-lakers-playoffs.html,1053,[],['Basketball']
5c8b4e9a40d36ff0709c54d2,b'Horse Deaths at Santa Anita Spell Trouble for an Industry',2019-03-06,Sports,"b'There have been 21 horse deaths at Santa Anita since Dec. 26. Statistical noise or a serious problem? For the racing industry, that may not matter.'",The New York Times,News,https://www.nytimes.com/2019/03/06/sports/santa-anita.html,1006,['California'],"['Horse Racing', 'Animal Abuse, Rights and Welfare']"
5c8c466340d36ff0709c7a87,"b'At Indian Wells, It\xe2\x80\x99ll Be Federer vs. Nadal for the 39th Time. Maybe.'",2019-03-16,Sports,"b'With straight-set wins on Friday, Roger Federer and Rafael Nadal set up a meeting in a BNP Paribas Open semifinal on Saturday. But Nadal\xe2\x80\x99s right knee may not cooperate.'",The New York Times,News,https://www.nytimes.com/2019/03/15/sports/roger-federer-rafael-nadal-indian-wells.html,1062,[],"['Tennis', 'BNP Paribas Open (Tennis)']"
5c8b6b8a40d36ff0709c74b0,b'Santa Anita Bans Drugs and Whips After Spate of Horse Deaths',2019-03-14,Sports,"b'One of horse racing\xe2\x80\x99s premier tracks took action after yet another horse died, the 22nd since Dec. 26, an unusually high number.'",The New York Times,News,https://www.nytimes.com/2019/03/14/sports/santa-anita-horse-deaths-drugs-whips.html,1066,[],"['Horse Racing', 'Animal Abuse, Rights and Welfare', 'Doping (Sports)']"
5c8ae36b40d36ff07080084a,b'FIFA\xe2\x80\x99s Boss Wants to Remake the Game. Europe Wants No Part of It.',2019-01-22,Sports,"b'Gianni Infantino, FIFA\xe2\x80\x99s president, has spent months pushing a plan to add two tournaments to the global soccer calendar, but European officials have been stubborn.'",The New York Times,News,https://www.nytimes.com/2019/01/22/sports/fifa-uefa-infantino.html,882,[],['Soccer']
5ca1b6f640d36ff0709d0e96,b'How the Slugging Catcher Became an Endangered Species in the Majors',2019-04-01,Sports,"b'As teams emphasize better defense behind the plate, everyday catchers with big bats are becoming increasingly hard to find.'",The New York Times,News,https://www.nytimes.com/2019/04/01/sports/mlb-catchers.html,1564,[],['Baseball']
5c95746440d36ff0709ca1a9,b'Healthy Killian Tillie Makes Gonzaga Tough to Defend',2019-03-22,Sports,"b'Gonzaga forward Killian Tillie returned from a foot injury in January, only to injure it again.'",AP,News,https://www.nytimes.com/aponline/2019/03/22/sports/ncaabasketball/ap-bkc-ncaa-west-region-preview.html,1081,[],[]
5c8ae49640d36ff070804317,b'Knicks and Lakers Said to Be Top Destinations for Anthony Davis',2019-02-07,Sports,"b'Davis might not be dealt away from New Orleans before Thursday\xe2\x80\x99s trade deadline, but the Knicks remain one of his preferred teams for a long-term contract.'",The New York Times,News,https://www.nytimes.com/2019/02/07/sports/anthony-davis-knicks-lakers.html,807,[],"['Trades (Sports)', 'Basketball']"
5c8b2d1b40d36ff070923123,"b'Manny Machado Gets His Payday, but It Won\xe2\x80\x99t Quell Free Agency Gripes'",2019-02-19,Sports,"b'Machado\xe2\x80\x99s deal is the first free-agent contract to guarantee a player $300 million, but concern about unsigned rank-and-file players is not going away.'",The New York Times,News,https://www.nytimes.com/2019/02/19/sports/manny-machado-padres-contract.html,930,[],['Baseball']
5ca2344a40d36ff0709d0fba,b'Michigan State-Duke Helps Boost NCAA Tournament TV Ratings',2019-04-01,Arts,"b""Michigan State's dramatic NCAA Tournament victory over Duke drew a 10.5 television rating, the highest for a late Sunday regional final in 14 years.""",AP,News,https://www.nytimes.com/aponline/2019/04/01/arts/ap-bkc-ncaa-tournament-tv-ratings.html,144,[],[]
5c8ae48740d36ff070803fec,b'Cubs Owners Reel After Emails of Family Patriarch Come Out',2019-02-05,Sports,"b'The fortune of Joe Ricketts allowed his family to buy the Chicago Cubs. When anti-Muslim emails went public Monday, trouble began \xe2\x80\x94 again.'",The New York Times,News,https://www.nytimes.com/2019/02/05/sports/cubs-ricketts.html,765,[],"['Muslims and Islam', 'E-Mail']"
5c998bcf40d36ff0709cf8f5,b'Duke-UCF Thriller Helps Boost TV Ratings for NCAA Tournament',2019-03-25,Arts,b'CBS Sports and Turner Sports say television ratings for the NCAA Tournament across four networks that broadcast the first week of games were up 8 percent over last year.',AP,News,https://www.nytimes.com/aponline/2019/03/25/arts/ap-bkc-ncaa-tournament-ratings.html,145,[],[]
5c921df840d36ff0709c8fb4,"b""Danica Patrick to Join NBC's Indy 500 Team""",2019-03-20,Arts,"b""Danica Patrick will join NBC Sports' inaugural coverage of the Indianapolis 500 as an analyst alongside host Mike Tirico.""",AP,News,https://www.nytimes.com/aponline/2019/03/20/arts/ap-car-indycar-indy-500-patrick.html,593,[],[]
5c8c652b40d36ff0709c7ac4,b'A Star Princeton Player Has a Sense of Where She\xe2\x80\x99ll Be: The W.N.B.A.',2019-03-16,Sports,b'Bella Alarie of Princeton has a chance to do something no Ivy League player has done in more than a decade: represent the conference in an extended W.N.B.A. career.',The New York Times,News,https://www.nytimes.com/2019/03/15/sports/a-star-princeton-player-has-a-sense-of-where-shell-be-the-wnba.html,1109,[],"['Basketball (College)', 'Draft and Recruitment (Sports)']"
