headline,snippet,source,type,url,word_count,locations,subjects
b'Auburn Tops Kentucky 77-71 in OT for First Final Four Trip',"b'The confetti was still swirling around Auburn coach Bruce Pearl when he gazed over a team headed to the first Final Four in school history and declared, ""This one was for Chuma!""'",AP,News,https://www.nytimes.com/aponline/2019/03/31/sports/ncaabasketball/ap-bkc-ncaa-auburn-kentucky.html,1111,[],[]
b'The Secrets of Pitching\xe2\x80\x99s Outlaws',"b'Pitchers have used all sorts of tricks to adulterate balls and make their jobs easier. These days, though, it\xe2\x80\x99s harder to create the necessary mess.'",The New York Times,News,https://www.nytimes.com/2019/03/29/sports/baseball/pitching.html,2466,[],"['Cheating', 'Baseball']"
"b'At the Miami Open, It\xe2\x80\x99s Ashleigh Barty\xe2\x80\x99s Turn for a Title'","b'The Australian beat Karolina Pliskova for her most significant victory, showing the promise of many more. She also became the 14th different WTA champion this year in 14 events.'",The New York Times,News,https://www.nytimes.com/2019/03/30/sports/ashleigh-barty-miami-open.html,1164,[],"['Miami Open (Tennis)', 'Tennis']"
b'Horse Deaths at Santa Anita Spell Trouble for an Industry',"b'There have been 21 horse deaths at Santa Anita since Dec. 26. Statistical noise or a serious problem? For the racing industry, that may not matter.'",The New York Times,News,https://www.nytimes.com/2019/03/06/sports/santa-anita.html,1006,['California'],"['Horse Racing', 'Animal Abuse, Rights and Welfare']"
b'Knicks and Lakers Said to Be Top Destinations for Anthony Davis',"b'Davis might not be dealt away from New Orleans before Thursday\xe2\x80\x99s trade deadline, but the Knicks remain one of his preferred teams for a long-term contract.'",The New York Times,News,https://www.nytimes.com/2019/02/07/sports/anthony-davis-knicks-lakers.html,807,[],"['Trades (Sports)', 'Basketball']"
b'Slow Enough to Be a Sponsored Runner',"b'They will never win an Olympic medal, or even the local Turkey Trot, but a certain kind of nonelite runner is finding a way to endorsements.'",The New York Times,News,https://www.nytimes.com/2019/03/06/sports/amateur-runners-sponsorships.html,1054,[],"['Track and Field', 'Running']"
b'Cubs Owners Reel After Emails of Family Patriarch Come Out',"b'The fortune of Joe Ricketts allowed his family to buy the Chicago Cubs. When anti-Muslim emails went public Monday, trouble began \xe2\x80\x94 again.'",The New York Times,News,https://www.nytimes.com/2019/02/05/sports/cubs-ricketts.html,765,[],"['Muslims and Islam', 'E-Mail']"
"b'Manny Machado Gets His Payday, but It Won\xe2\x80\x99t Quell Free Agency Gripes'","b'Machado\xe2\x80\x99s deal is the first free-agent contract to guarantee a player $300 million, but concern about unsigned rank-and-file players is not going away.'",The New York Times,News,https://www.nytimes.com/2019/02/19/sports/manny-machado-padres-contract.html,933,[],['Baseball']
b'Santa Anita Bans Drugs and Whips After Spate of Horse Deaths',"b'One of horse racing\xe2\x80\x99s premier tracks took action after yet another horse died, the 22nd since Dec. 26, an unusually high number.'",The New York Times,News,https://www.nytimes.com/2019/03/14/sports/santa-anita-horse-deaths-drugs-whips.html,1066,[],"['Horse Racing', 'Animal Abuse, Rights and Welfare', 'Doping (Sports)']"
"b'At Indian Wells, It\xe2\x80\x99ll Be Federer vs. Nadal for the 39th Time. Maybe.'","b'With straight-set wins on Friday, Roger Federer and Rafael Nadal set up a meeting in a BNP Paribas Open semifinal on Saturday. But Nadal\xe2\x80\x99s right knee may not cooperate.'",The New York Times,News,https://www.nytimes.com/2019/03/15/sports/roger-federer-rafael-nadal-indian-wells.html,1066,[],"['Tennis', 'BNP Paribas Open (Tennis)']"
b'As Winter Olympics Approach It\xe2\x80\x99s Full Steam Ahead With Operation Transformation \n',b'Old became new as Beijing stepped up its preparations for the 2022 Games last year.',,,https://www.nytimes.com/paidpost/china-daily/as-winter-olympics-approach-its-full-steam-ahead-with-operation-transformation.html,1179,[],[]
b'C.C. Sabathia of Yankees Says It\xe2\x80\x99s Time for a Windup to a Long Career',b'The 2019 season will be the last for the big 38-year-old left-hander. And he made his decision formal in a news conference.',The New York Times,News,https://www.nytimes.com/2019/02/16/sports/yankees-sabathia-retirement-left-hander.html,884,[],['Baseball']
b'South Korea\xe2\x80\x99s Speedskating Community Faces Reckoning After Rape Allegations',"b'The speedskater Shim Suk-hee, a two-time Olympic gold medalist, said that in addition to physical beatings, she had been repeatedly raped by her former coach.'",The New York Times,News,https://www.nytimes.com/2019/01/14/world/asia/south-korea-speedskating-shim-suk-hee-rape.html,1039,[],"['Short-Track Speedskating', 'Sex Crimes', 'Olympic Games (2018)', 'Speedskating', 'Coaches and Managers', '#MeToo Movement']"
b'The Right\xe2\x80\x99s Lena Dunham Fallacy',b'Why do conservatives keep blaming liberal millennials for social decay?',The New York Times,Op-Ed,https://www.nytimes.com/2019/03/12/opinion/marriage-family-conservatives.html,1191,[],"['Marriages', 'Social Conditions and Trends', 'Women and Girls', 'Birth Rates', 'Families and Family Life', 'Poverty', 'United States Politics and Government', 'Conservatism (US Politics)']"
b'Notable Deaths 2019: Arts and Styles',b'A memorial to those who lost their lives in 2019',The New York Times,Interactive Feature,https://www.nytimes.com/interactive/2019/obituaries/notable-deaths-arts-styles.html,,[],['Fashion and Apparel']
b'Two Women Who Stuck With It Win Aussie Doubles Crown',"b'Sam Stosur made up for a loss in the doubles final 13 years ago. Her partner, Zhang Shuai, nearly quit the sport in 2016. Now the two are Grand Slam champions.'",The New York Times,News,https://www.nytimes.com/2019/01/25/sports/tennis/sam-stosur-australian-open.html,707,[],"['Tennis', 'Australian Open (Tennis)']"
b'Mexico Vows to Better Protect Threatened Reporters as Murder Tally Rises',"b'A Mexican official said on Monday that the government would strengthen measures to protect journalists, the day after a sports reporter became the latest in a long list of media workers to be murdered. '",Reuters,News,https://www.nytimes.com/reuters/2019/03/26/world/americas/25reuters-mexico-violence.html,395,[],[]
b'Healthy Killian Tillie Makes Gonzaga Tough to Defend',"b'Gonzaga forward Killian Tillie returned from a foot injury in January, only to injure it again.'",AP,News,https://www.nytimes.com/aponline/2019/03/22/sports/ncaabasketball/ap-bkc-ncaa-west-region-preview.html,1086,[],[]
b'U.A.E. Accuses Qatar of Fielding Ineligible Players at Asian Cup',"b'Beaten on the field by Qatar, the United Arab Emirates has asked Asian Cup organizers to investigate its rival\xe2\x80\x99s leading scorer, Almoez Ali, and another player.'",The New York Times,News,https://www.nytimes.com/2019/01/31/sports/soccer/qatar-uae-asian-cup.html,845,"['United Arab Emirates', 'Qatar', 'Saudi Arabia']","['Soccer', 'Cheating']"
"b'On Way to Super Bowl, the Patriots Moved the Ball and the Line'","b'For much of the season, the Patriots were considered a tier below the N.F.L.\xe2\x80\x99s best teams. But now that they are in the Super Bowl, they are favored again.'",The New York Times,News,https://www.nytimes.com/2019/01/23/sports/football/super-bowl-odds-patriots-rams.html,773,[],"['Football', 'Super Bowl']"
"b'On Way to Super Bowl, the Patriots Moved the Ball and the Line'","b'For much of the season, the Patriots were considered a tier below the N.F.L.\xe2\x80\x99s best teams. But now that they are in the Super Bowl, they are favored again.'",The New York Times,News,https://www.nytimes.com/2019/01/23/sports/football/super-bowl-odds-patriots-rams.html,773,[],"['Football', 'Super Bowl']"
b'The N.F.L.\xe2\x80\x99s Obesity Scourge',"b'The effects of head trauma have gotten much of the attention, but huge weight gains have also damaged N.F.L. retirees. '",The New York Times,News,https://www.nytimes.com/2019/01/17/sports/football/the-nfls-obesity-scourge.html,2699,[],"['Sports Injuries', 'Exercise', 'Football', 'Weight', 'Obesity', 'Apnea (Sleep Disorder)', 'Heart', 'Diabetes']"
b'This Bears Loss Was Particularly Soul-Crushing. Let\xe2\x80\x99s Count the Ways.',b'Think you\xe2\x80\x99ve suffered as a fan? Here are some reasons the Bears now have you beat.',The New York Times,News,https://www.nytimes.com/2019/01/07/sports/chicago-bears-cody-parkey-kick-upright.html,677,[],"['Football', 'Playoff Games']"
"b'Stalled in Formula One, Drivers Are Moving to IndyCar Series'","b'Marcus Ericsson is among five former F1 drivers who will participate in the IndyCar Series full-time this year, the most since at least 2003.'",The New York Times,News,https://www.nytimes.com/2019/03/09/sports/indy-car-preview.html,1075,[],['Automobile Racing']
b'\xe2\x80\x98High Flying Bird\xe2\x80\x99 Is Rich With Historical References. Here\xe2\x80\x99s a Closer Look.',"b'Steven Soderbergh\xe2\x80\x99s latest, released on Netflix, is filled with allusions to the racial and political history of pro basketball. Read this guide after you watch.'",The New York Times,News,https://www.nytimes.com/2019/02/12/movies/high-flying-bird-nba-history-netflix.html,1228,[],"['Movies', 'Basketball', 'Race and Ethnicity']"
"b'Corrections: February 26, 2019'","b'Corrections appearing in print on Tuesday, February 26, 2019.'",The New York Times,Correction,https://www.nytimes.com/2019/02/25/pageoneplus/corrections-february-26-2019.html,317,[],[]
b'How Breast Size Affects How Women Exercise',"b'As women\xe2\x80\x99s breast sizes grew, their participation in physical activity declined, particularly if that exercise was vigorous.'",The New York Times,News,https://www.nytimes.com/2019/03/06/well/move/how-breast-size-affects-how-women-exercise.html,890,[],"['Exercise', 'Breasts', 'Women and Girls', 'Lingerie and Underwear', 'Obesity']"
b'$430 Million Deal',b'Is any athlete worth that amount of money?',The New York Times,News,https://www.nytimes.com/2019/03/21/learning/430-million-deal.html,112,[],[]
b'Beyonc\xc3\xa9 and Adidas Team Up to Make Shoes and Money',b'The high-profile partnership was announced on Thursday.',The New York Times,News,https://www.nytimes.com/2019/04/04/style/beyonce-adidas-collaboration.html,491,[],"['Sneakers', 'Pop and Rock Music']"
b'Defendants Receive Lenient Sentences in College Basketball Corruption Case',"b'The judge questioned the logic of the prosecutors in a college basketball sneaker scandal, then sentenced the convicted executives to just six and nine months.'",The New York Times,News,https://www.nytimes.com/2019/03/05/sports/college-basketball-scandal.html,1115,[],"['Basketball (College)', 'Colleges and Universities']"
b'Disney Is Banning Smoking Areas in Parks',b'Disney is eliminating smoking areas at its theme and water parks in California and Florida.',AP,News,https://www.nytimes.com/aponline/2019/03/28/us/ap-us-disney-smoking.html,131,[],[]
b'A Star Princeton Player Has a Sense of Where She\xe2\x80\x99ll Be: The W.N.B.A.',b'Bella Alarie of Princeton has a chance to do something no Ivy League player has done in more than a decade: represent the conference in an extended W.N.B.A. career.',The New York Times,News,https://www.nytimes.com/2019/03/15/sports/a-star-princeton-player-has-a-sense-of-where-shell-be-the-wnba.html,1109,[],"['Basketball (College)', 'Draft and Recruitment (Sports)']"
"b'Once Yankees\xe2\x80\x99 Bargaining Tool, Troy Tulowitzki Is Now Their Bargain Shortstop'","b'In 2010, Brian Cashman told Derek Jeter he\xe2\x80\x99d rather have Tulowitzki as his shortstop. Nine years later, Tulowitzki is in the Bronx on a one-year deal.'",The New York Times,News,https://www.nytimes.com/2019/03/15/sports/troy-tulowitzki-yankees.html,1140,[],['Baseball']
b'R.I.P. to the R.P.I.: Selection Committee Breaks Out New Math',"b'The Rating Percentage Index, long the measuring stick for the N.C.A.A. basketball tournament, gives way to a new metric: the NET.'",The New York Times,News,https://www.nytimes.com/2019/03/15/sports/ncaa-bracket-selection-sunday-net-rating.html,1198,[],"['NCAA Basketball Championships (Men)', 'Basketball (College)']"
b'Can We All Agree Mariano Rivera Belongs in the Hall? History Says No',b'The most interesting question about the Baseball Hall of Fame\xe2\x80\x99s next class of inductees is whether the Yankees closer will be the first unanimous selection.',The New York Times,News,https://www.nytimes.com/2019/01/17/sports/hall-of-fame-mariano-rivera-.html,769,[],['Baseball']
"b'With or Without Bryce Harper, the Phillies Like Their Winter Haul'","b'All of Philadelphia, and baseball, is seemingly holding its breath to see if Harper signs with the Phillies. But if he goes elsewhere, the team is still much improved.'",The New York Times,News,https://www.nytimes.com/2019/02/20/sports/baseball-phillies-harper-machado.html,1019,[],['Baseball']
b'Playoff Mode? LeBron James and the Lakers Are Failing to Activate',"b'A move West came with dire warnings, but the reality is setting in that a James-led team might miss the playoffs.'",The New York Times,News,https://www.nytimes.com/2019/03/03/sports/lebron-james-los-angeles-lakers-playoffs.html,1074,[],['Basketball']
b'A Top Scorer Changes the Definition of the Complete Player',"b'\xe2\x80\x9cA lot of people in my position wouldn\xe2\x80\x99t want to say anything,\xe2\x80\x9d Marquette guard Markus Howard, the Big East player of the year, said of going public about seeking mental health counseling.'",The New York Times,News,https://www.nytimes.com/2019/03/14/sports/marquette-markus-howard-ncaa-tournament.html,1127,[],['Basketball (College)']
"b'With Paul Goldschmidt, the Cardinals Try to Recreate a Formula That Worked'","b'The slugging first baseman comes to St. Louis looking to get the team back to the playoffs, just like Jim Edmonds did in 2000. But will he stick around?'",The New York Times,News,https://www.nytimes.com/2019/02/18/sports/paul-goldschmidt-st-louis-cardinals.html,1043,[],['Baseball']
b'What\xe2\x80\x99s on TV Friday: \xe2\x80\x98High Flying Bird\xe2\x80\x99 and \xe2\x80\x98PEN15\xe2\x80\x99',"b'The sports drama from Tarell Alvin McCraney and Steven Soderbergh hits Netflix, and a new middle school buddy comedy comes to Hulu.'",The New York Times,Schedule,https://www.nytimes.com/2019/02/08/arts/television/whats-on-tv-friday-high-flying-bird-and-pen15.html,491,[],"['Television', 'Movies']"
b'FIFA\xe2\x80\x99s Boss Wants to Remake the Game. Europe Wants No Part of It.',"b'Gianni Infantino, FIFA\xe2\x80\x99s president, has spent months pushing a plan to add two tournaments to the global soccer calendar, but European officials have been stubborn.'",The New York Times,News,https://www.nytimes.com/2019/01/22/sports/fifa-uefa-infantino.html,882,[],['Soccer']
b'Massachusetts Bill Would Ban Tackle Football Until After Seventh Grade',"b'The measure, which is already facing headwinds, follows unsuccessful similar attempts by legislators in five other states.'",The New York Times,News,https://www.nytimes.com/2019/03/01/sports/youth-tackle-football-ban.html,1062,['Massachusetts'],"['Football', 'Chronic Traumatic Encephalopathy', 'Interscholastic Athletics', 'Youth']"
"b'FTSE 100 Gains, MPs Votes on Brexit Process Eyed'","b""Financials and mining stocks supported the British blue-chip index on Wednesday as investors awaited indicative votes on a series of alternate Brexit options in parliament, while midcap Bellway's upbeat first-half boosted housebuilders.""",Reuters,News,https://www.nytimes.com/reuters/2019/03/27/business/27reuters-britain-stocks.html,411,[],[]
b'Meet the Long-Suffering Fan Behind Our Miracle Mets Section',"b'Jay Schreiber, a former deputy sports editor for The Times, drew on his lifelong relationship with the Mets in revisiting the team\xe2\x80\x99s 1969 season.'",The New York Times,News,https://www.nytimes.com/2019/03/28/reader-center/mets-1969-season-new-york.html,788,"['Flushing (Queens, NY)']","['Baseball', 'World Series']"
b'Lionel Messi\xe2\x80\x99s Goals Go Viral Like No Other Player\xe2\x80\x99s',"b'Instant online video highlights change the way we watch every sport, but none more so than soccer.'",The New York Times,News,https://www.nytimes.com/2019/04/03/magazine/lionel-messis-viral-goals.html,1179,[],['Soccer']
